id,nombre,departamento,latitud,longitud,poblacion2022,superficieKm2,densidad,queryUsada,slug,displayName
loc-59,El Rodeo,Burruyacu,-26.423494,-64.777354,590,3.269000,180.483000,"El Rodeo, Burruyacu, Tucuman, Argentina",el-rodeo,"El Rodeo, Municipio de El Puestito, Departamento Burruyacú, Tucumán, T4119, Argentina"
loc-60,El Rodeo,Tafi del Valle,-26.880723,-65.756520,833,7.719000,107.916000,"El Rodeo, Tafi del Valle, Tucuman, Argentina",el-rodeo,"El Rodeo, Municipio de Tafí del Valle, Departamento Tafí del Valle, Tucumán, T4137, Argentina"
loc-61,El Sacrificio,La Cocha,-27.648165,-65.596254,1487,2.478000,600.081000,"El Sacrificio, La Cocha, Tucuman, Argentina",el-sacrificio,"El Sacrificio, Municipio de El Sacrificio, Departamento La Cocha, Tucumán, Argentina"
loc-62,El Siambon,Tafi Viejo,-26.703520,-65.434357,657,1.392000,471.983000,"El Siambon, Tafi Viejo, Tucuman, Argentina",el-siambon,"El Siambón, Ruta Provincial 341, Loteo La Loma, Valle Hermoso, Municipio de Raco, Departamento Tafí Viejo, Tucumán, T4103, Argentina"
loc-63,El Timbo,Burruyacu,-26.716214,-65.145291,642,1.434000,447.699000,"El Timbo, Burruyacu, Tucuman, Argentina",el-timbo,"El Timbó, Municipio de El Timbó, Departamento Burruyacú, Tucumán, T4119, Argentina"
loc-64,Esquina,Leales,-27.029333,-65.155022,574,5.495000,104.459000,"Esquina, Leales, Tucuman, Argentina",esquina,"Esquina, Municipio de Esquina y Mancopa, Departamento Leales, Tucumán, T4113, Argentina"
loc-65,Estacion Araoz,Leales,-27.057298,-64.924370,2276,1.049000,2169.685000,"Estacion Araoz, Leales, Tucuman, Argentina",estacion-araoz,"Municipio de Estación Aráoz y Tacanas, Departamento Leales, Tucumán, T4113, Argentina"
loc-66,Famailla (incl. Barrio Casa Rosada),Famailla,-27.057530,-65.402355,33095,10.220000,3238.258000,"Famailla, Famailla, Tucuman, Argentina",famailla,"Famaillá, Municipio de Famaillá, Departamento Famaillá, Tucumán, T4132, Argentina"
loc-67,Garmendia,Burruyacu,-26.567223,-64.554162,3596,1.084000,3317.343000,"Garmendia, Burruyacu, Tucuman, Argentina",garmendia,"Municipio de Garmendia, Departamento Burruyacú, Tucumán, T4119, Argentina"
loc-69,Gastona Sud,Chicligasta,-27.355567,-65.490410,1106,1.788000,618.568000,"Gastona Sud, Chicligasta, Tucuman, Argentina",gastona-sud,"Gastona Sud, Municipio de Gastona y Belicha, Departamento Chicligasta, Tucumán, T4174, Argentina"
